"type","title","attendance","speaker","time","room","url","concurrent_sessions","concurrent_attendance","expected","attendance_ratio","id"
"Talk","Programming with tidyverse grammars",350,"Lionel Henry",2017-07-07 11:00:00,"4.02","https://user2017.sched.com/event/Axoq",6,724,161,2.17,"254"
"Talk","Teaching psychometrics and analysing educational tests with **ShinyItemAnalysis**",65,"Patrícia Martinková",2017-07-07 11:00:00,"PLENARY","https://user2017.sched.com/event/AxsE",6,724,161,0.4,"255"
"Talk","Detecting eQTLs from high-dimensional sequencing data using recount2",45,"Kai Kammers",2017-07-07 11:18:00,"3.02","https://user2017.sched.com/event/AxsP",6,674,161,0.28,"256"
"Talk","Easy imputation with the simputation package",189,"Mark van der Loo",2017-07-07 11:18:00,"2.01","https://user2017.sched.com/event/AxsM",6,674,161,1.17,"257"
"Talk","Interactive bullwhip effect exploration using SCperf and Shiny",41,"Marlene Silva-Marchena",2017-07-07 11:18:00,"2.02","https://user2017.sched.com/event/Axpa",6,674,161,0.25,"258"
"Talk","Letting R sense the world around it with **shinysense**",171,"Nick Strayer",2017-07-07 11:18:00,"PLENARY","https://user2017.sched.com/event/AxsK",6,674,161,1.06,"259"
"Talk","Modules in R",193,"Sebastian Warnholz",2017-07-07 11:18:00,"4.02","https://user2017.sched.com/event/Axow",6,674,161,1.2,"260"
"Talk","Morphological Analysis with R",35,"Markus Voge",2017-07-07 11:18:00,"3.01","https://user2017.sched.com/event/AxsN",6,674,161,0.22,"261"
"Talk","Generating Missing Values for Simulation Purposes: A Multivariate Amputation Procedure",129,"Rianne Schouten",2017-07-07 11:36:00,"2.01","https://user2017.sched.com/event/AxsS",6,609,161,0.8,"262"
"Talk","Integrated analysis of digital PCR experiments in R",48,"Stefan Rödiger",2017-07-07 11:36:00,"3.02","https://user2017.sched.com/event/AxsV",6,609,161,0.3,"263"
"Talk","Markov-Switching GARCH Models in R: The MSGARCH Package",54,"Keven Bluteau",2017-07-07 11:36:00,"2.02","https://user2017.sched.com/event/Axpg",6,609,161,0.34,"264"
"Talk","ompr: an alternative way to model mixed-integer linear programs",54,"Dirk Schumacher",2017-07-07 11:36:00,"3.01","https://user2017.sched.com/event/AxsT",6,609,161,0.34,"265"
"Talk","papr: Tinder for pre-prints, a Shiny Application for collecting gut-reactions to pre-prints from the scientific community",147,"Lucy DâAgostino McGowan",2017-07-07 11:36:00,"PLENARY","https://user2017.sched.com/event/AxsQ",6,609,161,0.91,"266"
"Talk","Taking Advantage of the Byte Code Compiler",177,"Tomas Kalibera",2017-07-07 11:36:00,"4.02","https://user2017.sched.com/event/Axp2",6,609,161,1.1,"267"
"Talk","Dynamic Assessment of Microbial Ecology (*DAME*): A Shiny App for Analysis and Visualization of Microbial Sequencing Data",39,"Federico Marini",2017-07-07 11:54:00,"3.02","https://user2017.sched.com/event/Axsb",5,606,193,0.2,"268"
"Talk","Dynamic modeling and parameter estimation with dMod",45,"Daniel Kaschek",2017-07-07 11:54:00,"3.01","https://user2017.sched.com/event/AxsZ",5,606,193,0.23,"269"
"Talk","How to deal with Missing Data in Time Series and the imputeTS package",201,"Steffen Moritz",2017-07-07 11:54:00,"2.01","https://user2017.sched.com/event/AxsY",5,606,193,1.04,"270"
"Talk","R and Haskell: Combining the best of two worlds",100,"Sigrid Keydana",2017-07-07 11:54:00,"2.02","https://user2017.sched.com/event/Axqq",5,606,193,0.52,"271"
"Talk","shiny.collections: Google Docs-like live collaboration in Shiny",221,"Marek Rogala",2017-07-07 11:54:00,"PLENARY","https://user2017.sched.com/event/AxsW",5,606,193,1.15,"272"
"BREAK","LUNCH",321,NA,2017-07-07 12:12:00,"CATERING POINTS","https://user2017.sched.com/event/Axsc",1,321,966,0.33,"273"
"Invited Talk","KEYNOTE: 20 years of CRAN",425,NA,2017-07-07 13:15:00,"PLENARY","https://user2017.sched.com/event/Ay06",1,425,966,0.44,"274"
"Conference Event","CLOSING",264,NA,2017-07-07 14:15:00,"Wild Gallery","https://user2017.sched.com/event/Axse",1,264,966,0.27,"275"
